,Alpha,Beta,all_web,single_web,nomralized_price
AHTANUM™ YCR 1 CV.,4.3,5,2.99,3.29,2.79
AMARILLO® VGXP01 CV.,9,6.2,1.50,2.99,2.61
BITTER GOLD,13.6,5.6,1.50,,2.61
Bravo,16.1,4.4,1.37,,2.59
Brewers Delight,11.4,5,,,
Brewers Gold,10,5.2,1.99,2.79,2.67
BULLION,8.1,4.4,2.79,,2.77
CASCADE,7.4,7,0.99,2.29,2.54
Centennial,10.2,4,1.99,2.49,2.67
CHELAN,14.1,9.4,,,
CHINOOK,13.2,3.7,1.37,2.49,2.59
CITRA® HBC 394 CV.,13.8,3.7,3.49,3.49,2.86
Cluster,8.2,5.3,1.40,2.49,2.59
Columbus,16.5,5.4,1.99,2.49,2.67
CRYSTAL,4.6,7.3,1.99,,2.67
EQUINOX™ HBC 366 CV.,15.2,4.8,2.49,,2.73
Fuggle,4.4,2.7,2.99,2.59,2.79
Galena,14.7,8.7,1.99,,2.67
Glacier,5,7.2,2.49,,2.73
Golding,5.1,2.3,2.49,,2.73
GR Brewers Gold,4.7,3.7,1.99,,2.67
GR HALLERTAU,3.8,5.1,1.99,2.79,2.67
GR Herkules,17.2,5.7,1.49,,2.61
GR Northern Brewer,6.8,4.3,1.99,,2.67
GR PERLE,6.1,5,1.40,2.49,2.60
GR Tettnang,3.4,4.9,2.79,,2.77
Hallertau,4.9,3.1,2.49,2.29,2.73
HORIZON,10.4,6.3,2.99,,2.79
Liberty,4.7,3.6,2.49,2.79,2.73
Magnum,13.7,6.5,2.49,2.49,2.73
MILLENNIUM,16.8,5.3,1.45,,2.60
MOSAIC™ HBC 369 CV.,13.2,3.7,3.49,3.29,2.86
MT. HOOD,6.5,6.9,2.49,2.69,2.73
Mt. Rainier,6.1,7.3,2.50,,2.73
Newport,11.6,6.5,2.49,,2.73
Northern Brewer,8.2,4.2,2.79,2.49,2.77
Nugget,15.3,4.5,1.99,2.29,2.67
PALISADE® YCR 4 CV.,8.4,7.3,1.79,,2.64
PERLE,8.3,3.9,2.79,,2.77
Saaz,6.3,5.2,2.99,2.49,2.79
Santiam,7.4,7.3,2.49,,2.73
SIMCOE® YCR 14 CV.,13.6,4,2.99,2.79,2.79
SORACHI ACE,11.7,6.8,3.29,,2.83
ST AURORA,7.2,3.3,1.99,,2.67
ST Celeia,2.7,2.5,1.99,,2.67
STERLING,8,5.3,2.49,,2.73
Summit™,17.1,5.3,1.99,,2.67
TAHOMA,6.8,7.7,1.99,,2.67
TETTNANG,4.9,2.9,1.99,,2.67
TRIPLEPEARL,9.3,3.2,2.99,2.79,2.79
UK ADMIRAL,14.2,7.2,0.99,,2.54
UK EAST KENT GOLDING,5.1,3,1.99,2.79,2.67
UK WGV,5.9,3.8,,2.29,2.42
Ultra,9.1,3.8,1.75,,2.64
VANGUARD,5.4,5.9,1.49,,2.61
WARRIOR® YCR 5 CV.,15.9,4.8,1.99,,2.67
Willamette,5.4,3.7,1.49,2.79,2.61
YAKIMA GOLD,7.4,3.7,1.87,,2.65